time;V(Net-_R7-Pad2_);V(Net-_U1-+_);
0.0153116;0.0369886;-0.00105664;
0.0153216;0.036112;-0.00124367;
0.0153316;0.0351092;-0.00143943;
0.0153416;0.0339842;-0.00164363;
0.0153516;0.0327414;-0.00185592;
0.0153616;0.0313857;-0.00207597;
0.0153716;0.0299225;-0.00230338;
0.0153816;0.0283575;-0.00253773;
0.0153916;0.026697;-0.00277857;
0.0154016;0.0249474;-0.00302543;
0.0154116;0.0231158;-0.00327781;
0.0154216;0.0212092;-0.00353518;
0.0154316;0.0192353;-0.00379702;
0.0154416;0.0172018;-0.00406275;
0.0154516;0.0151167;-0.00433181;
0.0154616;0.0129883;-0.00460359;
0.0154716;0.010825;-0.00487751;
0.0154816;0.00863536;-0.00515294;
0.0154916;0.00642793;-0.00542928;
0.0155016;0.00421148;-0.00570589;
0.0155116;0.00199474;-0.00598216;
0.0155216;-0.000213533;-0.00625746;
0.0155316;-0.00240463;-0.00653117;
0.0155416;-0.00456989;-0.00680267;
0.0155516;-0.00670078;-0.00707135;
0.0155616;-0.00878889;-0.00733662;
0.0155716;-0.010826;-0.0075979;
0.0155816;-0.012804;-0.0078546;
0.0155916;-0.0147152;-0.00810618;
0.0156016;-0.0165519;-0.0083521;
0.0156116;-0.018307;-0.00859185;
0.0156216;-0.0199735;-0.00882493;
0.0156316;-0.0215448;-0.00905089;
0.0156416;-0.0230148;-0.00926928;
0.0156516;-0.0243776;-0.0094797;
0.0156616;-0.0256279;-0.00968176;
0.0156716;-0.0267606;-0.00987512;
0.0156816;-0.0277715;-0.0100595;
0.0156916;-0.0286564;-0.0102345;
0.0157016;-0.0294118;-0.0104;
0.0157116;-0.0300349;-0.0105557;
0.0157216;-0.030523;-0.0107016;
0.0157316;-0.0308744;-0.0108373;
0.0157416;-0.0310876;-0.010963;
0.0157516;-0.0311618;-0.0110784;
0.0157616;-0.0310966;-0.0111836;
0.0157716;-0.0308924;-0.0112785;
0.0157816;-0.03055;-0.0113634;
0.0157916;-0.0300706;-0.0114382;
0.0158016;-0.0294562;-0.0115031;
0.0158116;-0.0287092;-0.0115582;
0.0158216;-0.0278326;-0.0116038;
0.0158316;-0.0268299;-0.0116402;
0.0158416;-0.0257048;-0.0116676;
0.0158516;-0.0244621;-0.0116863;
0.0158616;-0.0231064;-0.0116966;
0.0158716;-0.0216432;-0.0116991;
0.0158816;-0.0200783;-0.011694;
0.0158916;-0.0184177;-0.0116818;
0.0159016;-0.0166682;-0.0116629;
0.0159116;-0.0148365;-0.0116379;
0.0159216;-0.01293;-0.0116073;
0.0159316;-0.0109561;-0.0115716;
0.0159416;-0.00892256;-0.0115314;
0.0159516;-0.00683752;-0.0114872;
0.0159616;-0.00470915;-0.0114396;
0.0159716;-0.00254587;-0.0113891;
0.0159816;-0.000356198;-0.0113365;
