time;V(Net-_R2-Pad1_);V(Net-_U1-+_);
0.00651098;-0.0702698;-0.0137868;
0.00651198;-0.120445;-0.0150401;
0.00651298;-0.170612;-0.0162929;
0.00651398;-0.220769;-0.017545;
0.00651498;-0.270915;-0.0187965;
0.00651598;-0.321048;-0.0200472;
0.00651698;-0.371165;-0.0212971;
0.00651798;-0.421264;-0.0225461;
0.00651898;-0.471344;-0.0237943;
0.00651998;-0.521402;-0.0250416;
0.00652098;-0.571437;-0.0262878;
0.00652198;-0.621447;-0.027533;
0.00652298;-0.671429;-0.0287771;
0.00652398;-0.721382;-0.0300201;
0.00652498;-0.771303;-0.0312619;
0.00652598;-0.821191;-0.0325025;
0.00652698;-0.871043;-0.0337418;
0.00652798;-0.920858;-0.0349797;
0.00652898;-0.970634;-0.0362163;
0.00652998;-1.02037;-0.0374514;
0.00653098;-1.07006;-0.0386851;
0.00653198;-1.11971;-0.0399172;
0.00653298;-1.1693;-0.0411478;
0.00653398;-1.21885;-0.0423767;
0.00653498;-1.26835;-0.043604;
0.00653598;-1.3178;-0.0448295;
0.00653698;-1.36719;-0.0460533;
0.00653798;-1.41652;-0.0472752;
0.00653898;-1.46579;-0.0484953;
0.00653998;-1.515;-0.0497135;
0.00654098;-1.56415;-0.0509297;
0.00654198;-1.61324;-0.0521439;
0.00654298;-1.66225;-0.053356;
0.00654398;-1.7112;-0.0545661;
0.00654498;-1.76008;-0.0557739;
0.00654598;-1.80888;-0.0569796;
0.00654698;-1.85761;-0.058183;
0.00654798;-1.90627;-0.0593842;
0.00654898;-1.95484;-0.060583;
0.00654998;-2.00333;-0.0617793;
0.00655098;-2.05174;-0.0629733;
0.00655198;-2.10007;-0.0641648;
0.00655298;-2.14831;-0.0653537;
0.00655398;-2.19646;-0.0665401;
0.00655498;-2.24452;-0.0677238;
0.00655598;-2.29249;-0.0689048;
0.00655698;-2.34037;-0.0700832;
0.00655798;-2.38815;-0.0712587;
0.00655898;-2.43583;-0.0724315;
0.00655998;-2.48341;-0.0736014;
0.00656098;-2.53089;-0.0747684;
0.00656198;-2.57827;-0.0759324;
0.00656298;-2.62554;-0.0770935;
0.00656398;-2.6727;-0.0782515;
0.00656498;-2.71976;-0.0794064;
0.00656598;-2.7667;-0.0805581;
0.00656698;-2.81353;-0.0817067;
0.00656798;-2.86025;-0.0828521;
0.00656898;-2.90685;-0.0839942;
0.00656998;-2.95333;-0.085133;
0.00657098;-2.99969;-0.0862684;
0.00657198;-3.04593;-0.0874004;
0.00657298;-3.09204;-0.088529;
0.00657398;-3.13803;-0.089654;
0.00657498;-3.18389;-0.0907756;
0.00657598;-3.22962;-0.0918935;
0.00657698;-3.27522;-0.0930078;
0.00657798;-3.32069;-0.0941185;
0.00657898;-3.36603;-0.0952254;
0.00657998;-3.41122;-0.0963286;
0.00658098;-3.45628;-0.0974279;
0.00658198;-3.5012;-0.0985235;
0.00658298;-3.54598;-0.0996151;
0.00658398;-3.59061;-0.100703;
0.00658498;-3.6351;-0.101787;
0.00658598;-3.67944;-0.102866;
0.00658698;-3.72363;-0.103942;
0.00658798;-3.76768;-0.105013;
0.00658898;-3.81156;-0.106081;
0.00658998;-3.8553;-0.107144;
0.00659098;-3.89888;-0.108203;
0.00659198;-3.9423;-0.109258;
0.00659298;-3.98557;-0.110308;
0.00659398;-4.02867;-0.111354;
0.00659498;-4.07161;-0.112396;
0.00659598;-4.11438;-0.113433;
0.00659698;-4.15699;-0.114466;
0.00659798;-4.19944;-0.115494;
0.00659898;-4.24171;-0.116518;
0.00659998;-4.28381;-0.117537;
0.00660098;-4.32574;-0.118551;
0.00660198;-4.3675;-0.119561;
0.00660298;-4.40908;-0.120566;
0.00660398;-4.45048;-0.121566;
0.00660498;-4.4917;-0.122561;
0.00660598;-4.53275;-0.123552;
0.00660698;-4.57361;-0.124538;
0.00660798;-4.61428;-0.125519;
0.00660898;-4.65478;-0.126494;
