time;V(Net-_R1-Pad1_);V(Net-_R2-Pad2_);
0.0063393;0.423343;-8.55998;
0.0063403;0.421663;-8.5278;
0.0063413;0.419966;-8.49528;
0.0063423;0.418253;-8.46243;
0.0063433;0.416523;-8.42924;
0.0063443;0.414777;-8.39572;
0.0063453;0.413015;-8.36186;
0.0063463;0.411236;-8.32767;
0.0063473;0.409441;-8.29315;
0.0063483;0.40763;-8.2583;
0.0063493;0.405802;-8.22312;
0.0063503;0.403959;-8.18761;
0.0063513;0.4021;-8.15178;
0.0063523;0.400225;-8.11563;
0.0063533;0.398334;-8.07915;
0.0063543;0.396427;-8.04235;
0.0063553;0.394505;-8.00523;
0.0063563;0.392567;-7.9678;
0.0063573;0.390613;-7.93004;
0.0063583;0.388644;-7.89197;
0.0063593;0.38666;-7.85359;
0.0063603;0.384661;-7.8149;
0.0063613;0.382646;-7.77589;
0.0063623;0.380616;-7.73658;
0.0063633;0.378572;-7.69695;
0.0063643;0.376512;-7.65703;
0.0063653;0.374437;-7.61679;
0.0063663;0.372348;-7.57626;
0.0063673;0.370244;-7.53542;
0.0063683;0.368125;-7.49429;
0.0063693;0.365992;-7.45285;
0.0063703;0.363845;-7.41112;
0.0063713;0.361683;-7.3691;
0.0063723;0.359506;-7.32678;
0.0063733;0.357316;-7.28417;
0.0063743;0.355111;-7.24127;
0.0063753;0.352893;-7.19809;
0.0063763;0.35066;-7.15461;
0.0063773;0.348414;-7.11086;
0.0063783;0.346154;-7.06682;
0.0063793;0.34388;-7.0225;
0.0063803;0.341592;-6.9779;
0.0063813;0.339291;-6.93302;
0.0063823;0.336977;-6.88787;
0.0063833;0.33465;-6.84244;
0.0063843;0.332309;-6.79674;
0.0063853;0.329955;-6.75077;
0.0063863;0.327588;-6.70453;
0.0063873;0.325208;-6.65803;
0.0063883;0.322816;-6.61126;
0.0063893;0.32041;-6.56423;
0.0063903;0.317992;-6.51694;
0.0063913;0.315561;-6.46938;
0.0063923;0.313118;-6.42158;
0.0063933;0.310663;-6.37351;
0.0063943;0.308195;-6.32519;
0.0063953;0.305715;-6.27663;
0.0063963;0.303223;-6.22781;
0.0063973;0.300719;-6.17874;
0.0063983;0.298204;-6.12943;
0.0063993;0.295676;-6.07987;
0.0064003;0.293137;-6.03008;
0.0064013;0.290586;-5.98004;
0.0064023;0.288024;-5.92976;
0.0064033;0.28545;-5.87925;
0.0064043;0.282865;-5.82851;
0.0064053;0.280269;-5.77753;
0.0064063;0.277662;-5.72633;
0.0064073;0.275044;-5.6749;
0.0064083;0.272415;-5.62324;
0.0064093;0.269775;-5.57135;
0.0064103;0.267125;-5.51925;
0.0064113;0.264464;-5.46693;
0.0064123;0.261792;-5.41439;
0.0064133;0.259111;-5.36163;
0.0064143;0.256419;-5.30866;
0.0064153;0.253717;-5.25548;
0.0064163;0.251005;-5.20209;
0.0064173;0.248283;-5.1485;
0.0064183;0.245551;-5.0947;
0.0064193;0.242809;-5.0407;
0.0064203;0.240058;-4.98649;
0.0064213;0.237298;-4.93209;
0.0064223;0.234528;-4.87749;
0.0064233;0.231749;-4.8227;
0.0064243;0.22896;-4.76772;
0.0064253;0.226163;-4.71255;
0.0064263;0.223357;-4.65719;
0.0064273;0.220542;-4.60164;
0.0064283;0.217718;-4.54592;
0.0064293;0.214885;-4.49001;
0.0064303;0.212044;-4.43392;
0.0064313;0.209195;-4.37766;
0.0064323;0.206338;-4.32122;
0.0064333;0.203472;-4.26461;
0.0064343;0.200598;-4.20783;
0.0064353;0.197717;-4.15089;
0.0064363;0.194827;-4.09378;
0.0064373;0.19193;-4.03651;
0.0064383;0.189025;-3.97907;
0.0064393;0.186113;-3.92148;
0.0064403;0.183194;-3.86374;
0.0064413;0.180267;-3.80584;
0.0064423;0.177333;-3.74778;
0.0064433;0.174392;-3.68958;
0.0064443;0.171445;-3.63124;
0.0064453;0.16849;-3.57275;
0.0064463;0.165529;-3.51411;
0.0064473;0.162561;-3.45534;
0.0064483;0.159587;-3.39643;
0.0064493;0.156607;-3.33739;
0.0064503;0.15362;-3.27821;
0.0064513;0.150628;-3.21891;
0.0064523;0.147629;-3.15947;
0.0064533;0.144625;-3.09991;
